,cluster,region,number_households_census,cluster_status,comment,psu_prob,psu_sample,psu_hits,psu_probs
0,1,North,105,1,,0.15162454873646208,0,0,0.15162454873646208
1,2,North,85,1,,0.12274368231046931,0,0,0.12274368231046931
2,3,North,95,1,,0.1371841155234657,0,0,0.1371841155234657
3,4,North,75,1,,0.10830324909747292,0,0,0.10830324909747292
4,5,North,120,1,,0.17328519855595667,0,0,0.17328519855595667
5,6,North,90,1,,0.1299638989169675,0,0,0.1299638989169675
6,7,North,130,1,,0.18772563176895307,1,1,0.18772563176895307
7,8,North,55,1,,0.07942238267148015,0,0,0.07942238267148015
8,9,North,30,1,,0.04332129963898917,0,0,0.04332129963898917
9,10,North,600,1,due to a large building,0.8664259927797834,1,1,0.8664259927797834
10,11,South,25,1,,0.027522935779816515,0,0,0.027522935779816515
11,12,South,250,1,,0.27522935779816515,0,0,0.27522935779816515
12,13,South,105,1,,0.11559633027522936,0,0,0.11559633027522936
13,14,South,75,1,,0.08256880733944955,0,0,0.08256880733944955
14,15,South,205,1,,0.22568807339449543,0,0,0.22568807339449543
15,16,South,190,1,,0.20917431192660552,1,1,0.20917431192660552
16,17,South,95,1,,0.10458715596330276,0,0,0.10458715596330276
17,18,South,85,1,,0.09357798165137615,0,0,0.09357798165137615
18,19,South,50,1,,0.05504587155963303,0,0,0.05504587155963303
19,20,South,110,1,,0.12110091743119267,0,0,0.12110091743119267
20,21,South,130,1,,0.14311926605504588,0,0,0.14311926605504588
21,22,South,180,1,,0.1981651376146789,0,0,0.1981651376146789
22,23,South,65,1,,0.07155963302752294,0,0,0.07155963302752294
23,24,South,75,1,,0.08256880733944955,1,1,0.08256880733944955
24,25,South,95,1,,0.10458715596330276,0,0,0.10458715596330276
25,26,South,130,1,,0.14311926605504588,0,0,0.14311926605504588
26,27,South,110,1,,0.12110091743119267,0,0,0.12110091743119267
27,28,South,450,1,,0.4954128440366973,0,0,0.4954128440366973
28,29,South,200,1,,0.22018348623853212,1,1,0.22018348623853212
29,30,South,100,1,,0.11009174311926606,0,0,0.11009174311926606
30,31,East,105,1,,0.07249712313003452,0,0,0.07249712313003452
31,32,East,265,1,,0.18296892980437285,0,0,0.18296892980437285
32,33,East,110,1,,0.0759493670886076,0,0,0.0759493670886076
33,34,East,305,1,,0.21058688147295743,1,1,0.21058688147295743
34,35,East,200,1,,0.1380897583429229,0,0,0.1380897583429229
35,36,East,95,1,,0.06559263521288838,0,0,0.06559263521288838
36,37,East,70,1,,0.04833141542002301,0,0,0.04833141542002301
37,38,East,80,1,,0.05523590333716916,0,0,0.05523590333716916
38,39,East,110,1,,0.0759493670886076,0,0,0.0759493670886076
39,40,East,330,1,,0.22784810126582278,0,0,0.22784810126582278
40,41,East,100,1,,0.06904487917146145,0,0,0.06904487917146145
41,42,East,95,1,,0.06559263521288838,0,0,0.06559263521288838
42,43,East,5,1,park,0.0034522439585730723,0,0,0.0034522439585730723
43,44,East,245,1,,0.16915995397008055,0,0,0.16915995397008055
44,45,East,450,1,,0.31070195627157654,1,1,0.31070195627157654
45,46,East,110,1,,0.0759493670886076,0,0,0.0759493670886076
46,47,East,205,1,,0.14154200230149597,0,0,0.14154200230149597
47,48,East,175,1,,0.12082853855005754,0,0,0.12082853855005754
48,49,East,0,1,,0.0,0,0,0.0
49,50,East,210,1,,0.14499424626006904,0,0,0.14499424626006904
50,51,East,135,1,,0.09321058688147296,0,0,0.09321058688147296
51,52,East,700,1,,0.48331415420023016,1,1,0.48331415420023016
52,53,East,55,1,,0.0379746835443038,0,0,0.0379746835443038
53,54,East,145,1,,0.1001150747986191,0,0,0.1001150747986191
54,55,East,45,1,,0.031070195627157654,0,0,0.031070195627157654
55,56,West,110,1,,0.03361344537815126,0,0,0.03361344537815126
56,57,West,45,1,,0.013750954927425516,0,0,0.013750954927425516
57,58,West,90,1,,0.02750190985485103,0,0,0.02750190985485103
58,59,West,0,1,,0.0,0,0,0.0
