,cluster,household,ssu_prob
1,7,72,0.00482780817508851
2,7,73,0.00482780817508851
4,7,75,0.00482780817508851
14,7,715,0.00482780817508851
21,7,722,0.00482780817508851
23,7,724,0.00482780817508851
54,7,755,0.00482780817508851
60,7,761,0.00482780817508851
63,7,764,0.00482780817508851
81,7,782,0.00482780817508851
94,7,795,0.00482780817508851
110,7,7111,0.00482780817508851
111,7,7112,0.00482780817508851
116,7,7117,0.00482780817508851
122,7,7123,0.00482780817508851
166,10,1037,0.00482780817508851
185,10,1056,0.00482780817508851
203,10,1074,0.00482780817508851
207,10,1078,0.00482780817508851
234,10,10105,0.00482780817508851
338,10,10209,0.00482780817508851
340,10,10211,0.00482780817508851
357,10,10228,0.00482780817508851
395,10,10266,0.00482780817508851
446,10,10317,0.00482780817508851
525,10,10396,0.00482780817508851
600,10,10471,0.00482780817508851
630,10,10501,0.00482780817508851
670,10,10541,0.00482780817508851
689,10,10560,0.00482780817508851
802,16,1613,0.00482780817508851
803,16,1614,0.00482780817508851
836,16,1647,0.00482780817508851
846,16,1657,0.00482780817508851
852,16,1663,0.00482780817508851
855,16,1666,0.00482780817508851
861,16,1672,0.00482780817508851
897,16,16108,0.00482780817508851
907,16,16118,0.00482780817508851
929,16,16140,0.00482780817508851
944,16,16155,0.00482780817508851
945,16,16156,0.00482780817508851
965,16,16176,0.00482780817508851
975,16,16186,0.00482780817508851
982,16,16193,0.00482780817508851
986,24,242,0.00482780817508851
989,24,245,0.00482780817508851
997,24,2413,0.00482780817508851
1006,24,2422,0.00482780817508851
1010,24,2426,0.00482780817508851
1011,24,2427,0.00482780817508851
1014,24,2430,0.00482780817508851
1016,24,2432,0.00482780817508851
1026,24,2442,0.00482780817508851
1029,24,2445,0.00482780817508851
1036,24,2452,0.00482780817508851
1038,24,2454,0.00482780817508851
1041,24,2457,0.00482780817508851
1042,24,2458,0.00482780817508851
1053,24,2469,0.00482780817508851
1062,29,295,0.00482780817508851
1074,29,2917,0.00482780817508851
1130,29,2973,0.00482780817508851
1137,29,2980,0.00482780817508851
1154,29,2997,0.00482780817508851
1158,29,29101,0.00482780817508851
1190,29,29133,0.00482780817508851
1197,29,29140,0.00482780817508851
1199,29,29142,0.00482780817508851
1218,29,29161,0.00482780817508851
1221,29,29164,0.00482780817508851
1223,29,29166,0.00482780817508851
1233,29,29176,0.00482780817508851
1264,29,29207,0.00482780817508851
1265,29,29208,0.00482780817508851
1315,34,3441,0.00482780817508851
1321,34,3447,0.00482780817508851
1354,34,3480,0.00482780817508851
1362,34,3488,0.00482780817508851
1375,34,34101,0.00482780817508851
1379,34,34105,0.00482780817508851
1423,34,34149,0.00482780817508851
1429,34,34155,0.00482780817508851
1441,34,34167,0.00482780817508851
1450,34,34176,0.00482780817508851
1451,34,34177,0.00482780817508851
1458,34,34184,0.00482780817508851
1464,34,34190,0.00482780817508851
1474,34,34200,0.00482780817508851
1484,34,34210,0.00482780817508851
1548,45,4535,0.00482780817508851
1550,45,4537,0.00482780817508851
1600,45,4587,0.00482780817508851
1633,45,45120,0.00482780817508851
1634,45,45121,0.00482780817508851
1640,45,45127,0.00482780817508851
1650,45,45137,0.00482780817508851
1688,45,45175,0.00482780817508851
1740,45,45227,0.00482780817508851
1743,45,45230,0.00482780817508851
1764,45,45251,0.00482780817508851
1776,45,45263,0.00482780817508851
1796,45,45283,0.00482780817508851
1850,45,45337,0.00482780817508851
1901,45,45388,0.00482780817508851
2078,52,52167,0.00482780817508851
2089,52,52178,0.00482780817508851
2169,52,52258,0.00482780817508851
2189,52,52278,0.00482780817508851
2218,52,52307,0.00482780817508851
2220,52,52309,0.00482780817508851
2233,52,52322,0.00482780817508851
2242,52,52331,0.00482780817508851
2300,52,52389,0.00482780817508851
2314,52,52403,0.00482780817508851
2319,52,52408,0.00482780817508851
2360,52,52449,0.00482780817508851
2423,52,52512,0.00482780817508851
2476,52,52565,0.00482780817508851
2483,52,52572,0.00482780817508851
2570,64,6439,0.00482780817508851
2598,64,6467,0.00482780817508851
2603,64,6472,0.00482780817508851
2626,64,6495,0.00482780817508851
2642,64,64111,0.00482780817508851
2658,64,64127,0.00482780817508851
2692,64,64161,0.00482780817508851
2697,64,64166,0.00482780817508851
2699,64,64168,0.00482780817508851
2711,64,64180,0.00482780817508851
2785,64,64254,0.00482780817508851
2806,64,64275,0.00482780817508851
2812,64,64281,0.00482780817508851
2820,64,64289,0.00482780817508851
2824,64,64293,0.00482780817508851
2845,86,8613,0.00482780817508851
2847,86,8615,0.00482780817508851
2870,86,8638,0.00482780817508851
2872,86,8640,0.00482780817508851
2896,86,8664,0.00482780817508851
2931,86,8699,0.00482780817508851
2971,86,86139,0.00482780817508851
2975,86,86143,0.00482780817508851
2984,86,86152,0.00482780817508851
3010,86,86178,0.00482780817508851
3028,86,86196,0.00482780817508851
3034,86,86202,0.00482780817508851
3087,86,86255,0.00482780817508851
3094,86,86262,0.00482780817508851
3097,86,86265,0.00482780817508851
