"","County","TotPrecincts","PrecinctsReporting","Bush","Kerry","Nader","votes","p"
"1","Alaska",439,439,151876,86064,3890,241830,0.0832467685529936
"2","Autauga",22,22,15212,4774,74,20060,0.00690538881517203
"3","Baldwin",50,50,52910,15579,371,68860,0.0237041412668368
"4","Barbour",24,24,5893,4826,26,10745,0.00369882366994135
"5","Bibb",16,16,5471,2089,12,7572,0.00260656052385257
"6","Blount",26,26,17364,3932,92,21388,0.00736253519336487
"7","Bullock",27,27,1494,3210,3,4707,0.0016203222907784
"8","Butler",27,27,4978,3409,13,8400,0.00289158853676197
"9","Calhoun",53,53,29806,15076,182,45064,0.0155126840262668
"10","Chambers",24,24,7618,5346,42,13006,0.00447714291775311
"11","Cherokee",32,32,5919,3036,43,8998,0.00309744210164097
"12","Chilton",19,19,12824,3773,46,16643,0.00572913190682493
"13","Choctaw",33,33,3889,3289,15,7193,0.00247609480296772
"14","Clarke",30,30,6729,4627,19,11375,0.0039156928101985
"15","Clay",24,24,4622,1893,38,6553,0.0022557832954049
"16","Cleburne",19,19,4362,1387,24,5773,0.00198727864556272
"17","Coffee",34,34,13010,4477,73,17560,0.00604479698875478
"18","Colbert",36,36,13179,10586,88,23853,0.00821107873421228
"19","Conecuh",27,27,3266,2715,17,5998,0.00206473190994027
"20","Coosa",14,14,2902,2055,8,4965,0.00170913536726466
"21","Covington",37,37,11108,3422,37,14567,0.00501449645416804
"22","Crenshaw",19,19,3774,1698,17,5489,0.00188951541408172
"23","Cullman",53,53,26783,8022,155,34960,0.0120345161006188
"24","Dale",26,26,13614,4479,75,18168,0.00625409292093945
"25","Dallas",32,32,7318,11145,28,18491,0.00636528138491256
"26","DeKalb",77,77,16901,7092,99,24092,0.00829335131281777
"27","Elmore",31,31,22024,6455,68,28547,0.00982692594749331
"28","Escambia",34,34,8501,3812,28,12341,0.00424822549192612
"29","Etowah",53,53,26972,15311,195,42478,0.0146224878410208
"30","Fayette",28,28,5532,2408,29,7969,0.00274322250588763
"31","Franklin",25,25,7688,4513,48,12249,0.00421655571271397
"32","Geneva",31,31,8324,2105,27,10456,0.00359933925480751
"33","Greene",21,21,958,3763,12,4733,0.00162927244577314
"34","Hale",16,16,3278,4622,15,7915,0.00272463372243702
"35","Henry",20,20,4859,2432,15,7306,0.00251499355352178
"36","Houston",29,29,26868,9141,91,36100,0.0124269459734651
"37","Jackson",38,38,11507,8618,92,20217,0.00695943398187103
"38","Jefferson",379,379,158504,132145,999,291648,0.100395953996375
"39","Lamar",25,25,4894,1956,5,6855,0.0023597427880361
"40","Lauderdale",33,33,22123,14615,155,36893,0.0126999257008047
"41","Lawrence",32,32,7728,6153,44,13925,0.00479349647314409
"42","Lee",36,36,27911,16177,203,44291,0.0152465890335386
"43","Limestone",33,33,18994,8859,117,27970,0.00962830135395621
"44","Lowndes",14,14,1786,4233,0,6019,0.00207196088128218
"45","Macon",18,18,1540,7495,16,9051,0.00311568664836102
"46","Madison",83,83,77150,52614,548,130312,0.044858176833634
"47","Marengo",32,32,5242,5026,16,10284,0.00354013053715001
"48","Marion",22,22,8983,3806,61,12850,0.00442344198778467
"49","Marshall",50,50,22745,8441,154,31340,0.0107883791359667
"50","Mobile",90,90,91877,63614,697,156188,0.0537656464737831
"51","Monroe",14,14,5831,3666,23,9520,0.00327713367499689
"52","Montgomery",59,59,44074,45127,198,89399,0.0307744194759504
"53","Morgan",47,47,32435,14113,187,46735,0.0160879036030441
"54","Perry",18,18,1733,3754,7,5494,0.00189123659773455
"55","Pickens",27,27,5170,3915,24,9109,0.0031356523787339
"56","Pike",28,28,7473,4323,44,11840,0.0040757628899121
"57","Randolph",47,47,6127,2817,35,8979,0.0030909016037602
"58","Russell",19,19,8332,8372,51,16755,0.00576768642064842
"59","Shelby",65,65,63326,14826,283,78435,0.0270002079620149
"60","St Clair",36,36,23468,5449,95,29012,0.00998699602720692
"61","Sumter",21,21,1880,4527,10,6417,0.0022089671000478
"62","Talladega",37,37,18326,11373,89,29788,0.0102541237301268
"63","Tallapoosa",29,29,12378,5449,53,17880,0.00615495274253618
"64","Tuscaloosa",53,53,42827,26420,263,69510,0.0239278951417053
"65","Walker",45,45,19162,9012,108,28282,0.00973570321389308
"66","Washington",26,26,5042,3127,28,8197,0.00282170848045688
"67","Wilcox",29,29,1778,3238,19,5035,0.00173323193840434
"68","Winston",23,23,8052,2234,29,10315,0.00355080187579758
"69","Arkansas",30,30,3783,3105,31,6919,0.00238177393879239
"70","Ashley",24,24,4566,3879,38,8483,0.00292016018539902
"71","Baxter",42,42,11117,7120,154,18391,0.00633085771185587
"72","Benton",83,83,46173,20594,394,67161,0.0231192830616036
"73","Boone",29,29,9742,4617,117,14476,0.00498317091168645
"74","Bradley",16,16,2190,2005,21,4216,0.00145130205607005
"75","Calhoun",13,13,1334,934,10,2278,0.0007841712722314
"76","Carroll",29,29,6184,4161,76,10421,0.00358729096923767
"77","Chicot",11,11,1723,2815,23,4561,0.00157006372811563
"78","Clark",25,25,4118,4981,46,9145,0.00314804490103431
"79","Clay",19,19,2735,3258,45,6038,0.00207850137916295
