"","CountyIndex","CountyName","SampSegments","PopnSegments","MeanCornPixPerSeg","MeanSoyBeansPixPerSeg"
"1",1,"CerroGordo",1,545,295.29,189.7
"2",2,"Hamilton",1,566,300.4,196.65
"3",3,"Worth",1,394,289.6,205.28
"4",4,"Humboldt",2,424,290.74,220.22
"5",5,"Franklin",3,564,318.21,188.06
"6",6,"Pocahontas",3,570,257.17,247.13
"7",7,"Winnebago",3,402,291.77,185.37
"8",8,"Wright",3,567,301.26,221.36
"9",9,"Webster",4,687,262.17,247.09
"10",10,"Hancock",5,569,314.28,198.66
"11",11,"Kossuth",5,965,298.65,204.61
"12",12,"Hardin",6,556,325.99,177.05
