"","provlab","prov","labor0","labor1","labor2","labor3"
"1","Alava",1,39484,142895,13204,100975
"2","Albacete",2,63915,157027,16128,144343
"3","Alicante",3,278004,754460,91995,593097
"4","Almeria",4,111859,308368,28244,169679
"5","Avila",5,20951,63183,5877,73131
"6","Badajoz",6,112728,234098,49923,263454
"7","Baleares",7,165337,456893,42291,319703
"8","Barcelona",8,793758,2519163,189919,1647037
"9","Burgos",9,46290,154834,15212,136763
"10","Caceres",10,61176,152806,22405,167579
"11","Cadiz",11,211529,429690,89401,435291
"12","Castellon",12,85739,254370,17273,185066
"13","CiudadReal",13,81327,192317,26653,195008
"14","Cordoba",14,135560,299442,45677,290986
"15","CorunaLa",15,134991,482785,52090,436794
"16","Cuenca",16,30361,77211,7136,91771
"17","Gerona",17,103801,332240,28740,192983
"18","Granada",18,151705,332249,40869,341209
"19","Guadalajara",19,32444,92653,6555,73968
"20","Guipuzcoa",20,94973,317900,19288,245536
"21","Huelva",21,83874,178166,36376,181535
"22","Huesca",22,28797,89638,6257,88525
"23","Jaen",23,116884,230612,39406,260218
"24","Leon",24,55461,180065,21408,222083
"25","Lerida",25,58555,180647,12668,146734
"26","RiojaLa",26,42739,143699,8852,103470
"27","Lugo",27,35657,141998,11913,157211
"28","Madrid",28,948433,2952022,185798,1835579
"29","Malaga",29,247794,569497,81216,544888
"30","Murcia",30,244872,589307,49135,450845
"31","Navarra",31,89920,277216,18703,195693
"32","Orense",32,34110,126336,17521,149838
"33","Oviedo",33,114254,416235,47436,473607
"34","Palencia",34,20743,69088,6044,72238
"35","PalmasLas",35,179416,458843,63993,305943
"36","Pontevedra",36,128781,391398,45284,357484
"37","Salamanca",37,43570,139496,16905,142252
"38","Tenerife",38,151561,406837,53486,330703
"39","Santander",39,72607,245887,19046,216231
"40","Segovia",40,21839,69941,5771,56008
"41","Sevilla",41,318229,726726,111936,627353
"42","Soria",42,11636,38353,2221,37854
"43","Tarragona",43,110052,333741,22348,241542
"44","Teruel",44,18608,59980,2392,57995
"45","Toledo",45,97710,260115,25200,211870
"46","Valencia",46,368302,1099808,96816,812058
"47","Valladolid",47,66236,236398,22687,180948
"48","Vizcaya",48,141938,507654,47280,426106
"49","Zamora",49,21833,68636,6643,96552
"50","Zaragoza",50,125399,411685,29047,329778
"51","Ceuta",51,15175,23427,8647,23732
"52","Melilla",52,15608,22101,4468,23159
