mpg,foreign,y1,y2
22,Domestic,0.2200093,0.22000504
17,Domestic,0.17000316,0.17000225
22,Domestic,0.22000185,0.22000244
20,Domestic,0.20000204,0.20000793
15,Domestic,0.15000568,0.15000495
18,Domestic,0.18000595,0.18000916
26,Domestic,0.26000965,0.26000947
20,Domestic,0.20000653,0.20000534
16,Domestic,0.16000749,0.16000253
19,Domestic,0.19000654,0.19000721
14,Domestic,0.14000748,0.14000368
14,Domestic,0.14000961,0.14000499
21,Domestic,0.21000008,0.21000226
29,Domestic,0.29000106,0.29000354
16,Domestic,0.16000299,0.16000651
22,Domestic,0.22000657,0.22000313
22,Domestic,0.22000811,0.22000769
24,Domestic,0.24000873,0.24000782
19,Domestic,0.19000965,0.19000852
30,Domestic,0.30000722,0.30000949
18,Domestic,0.18000643,0.18000108
16,Domestic,0.16000718,0.1600091
17,Domestic,0.17000468,0.17000335
28,Domestic,0.28000325,0.28000826
21,Domestic,0.21000439,0.21000898
12,Domestic,0.1200073,0.12000043
12,Domestic,0.12000994,0.12000196
14,Domestic,0.14000677,0.14000295
22,Domestic,0.22000791,0.22000627
14,Domestic,0.14000171,0.14000086
15,Domestic,0.15000027,0.15000144
18,Domestic,0.18000801,0.18000516
14,Domestic,0.14000903,0.1400069
20,Domestic,0.20000024,0.20000857
21,Domestic,0.21000491,0.21000648
19,Domestic,0.19000526,0.19000581
19,Domestic,0.19000596,0.19000711
18,Domestic,0.18000051,0.18000253
19,Domestic,0.19000895,0.190009
24,Domestic,0.24000728,0.24000442
16,Domestic,0.16000818,0.16000021
28,Domestic,0.28000501,0.2800096
34,Domestic,0.34000811,0.34000653
25,Domestic,0.25000095,0.25000513
26,Domestic,0.2600022,0.26000682
18,Domestic,0.18000259,0.18000489
18,Domestic,0.18000469,0.18000926
18,Domestic,0.1800046,0.18000516
19,Domestic,0.19000709,0.19000073
19,Domestic,0.19000179,0.19000567
19,Domestic,0.19000532,0.19000615
24,Domestic,0.24000168,0.24000941
17,Foreign,0.17000769,0.17000416
23,Foreign,0.23000929,0.23000264
25,Foreign,0.25000611,0.25000098
23,Foreign,0.23000151,0.23000486
35,Foreign,0.35000488,0.35000464
24,Foreign,0.24000378,0.24000029
21,Foreign,0.21000849,0.21000694
21,Foreign,0.21000911,0.21000718
25,Foreign,0.25000384,0.2500073
28,Foreign,0.28000316,0.28000414
30,Foreign,0.30000567,0.30000016
14,Foreign,0.14000188,0.14000909
26,Foreign,0.26000127,0.26000789
35,Foreign,0.35000688,0.35000166
18,Foreign,0.18000799,0.18000312
31,Foreign,0.31000572,0.31000611
18,Foreign,0.18000974,0.18000364
23,Foreign,0.23000634,0.23000155
41,Foreign,0.41000888,0.41000178
25,Foreign,0.25000495,0.25000867
25,Foreign,0.25000352,0.25000289
17,Foreign,0.17000714,0.17000586
