major_area,small_area,samp_size,direct_est,std_error,coef_var
1,1,191,1.099,0.163,0.148
1,2,633,1.075,0.08,0.074
1,3,597,1.105,0.083,0.075
1,4,221,0.628,0.109,0.174
1,5,195,0.753,0.119,0.158
1,6,191,0.981,0.141,0.144
1,7,183,1.257,0.202,0.161
2,8,188,1.095,0.127,0.116
2,9,204,1.405,0.168,0.12
2,10,188,1.356,0.178,0.131
2,11,149,0.615,0.1,0.163
2,12,290,1.46,0.201,0.138
2,13,250,1.338,0.148,0.111
2,14,194,0.854,0.143,0.167
3,15,184,1.176,0.149,0.127
3,16,193,1.111,0.145,0.131
3,17,218,1.257,0.135,0.107
3,18,266,1.43,0.172,0.12
3,19,214,1.278,0.137,0.107
3,20,213,1.292,0.163,0.126
3,21,196,1.002,0.125,0.125
3,22,95,1.183,0.247,0.209
3,23,195,1.044,0.14,0.134
3,24,187,1.267,0.171,0.135
3,25,479,1.193,0.106,0.089
4,26,230,0.791,0.121,0.153
4,27,186,0.795,0.121,0.152
4,28,199,0.759,0.259,0.341
4,29,238,0.796,0.106,0.133
4,30,207,0.565,0.089,0.158
4,31,165,0.886,0.225,0.254
4,32,153,0.952,0.205,0.215
4,33,210,0.807,0.119,0.147
4,34,383,0.582,0.067,0.115
4,35,255,0.684,0.106,0.155
4,36,226,0.787,0.126,0.16
4,37,224,0.44,0.092,0.209
4,38,212,0.759,0.132,0.174
4,39,211,0.77,0.1,0.13
4,40,179,0.8,0.113,0.141
4,41,312,0.756,0.083,0.11
4,42,241,0.865,0.121,0.14
4,43,205,0.64,0.129,0.202
