,weight,stratum,psu,qn8,domain
0,5.0115,111,270530,1.0,domain2
1,3.8631,111,270530,1.0,domain2
2,5.0008,111,270530,,domain2
3,5.0008,111,270530,1.0,domain2
4,4.978,111,270530,,domain2
5,5.0008,111,270530,1.0,domain2
6,3.9376,111,270530,1.0,domain2
7,4.5667,111,270530,,domain2
8,5.0115,111,270530,1.0,domain2
9,5.0115,111,270530,,domain2
10,4.9762,111,270530,,domain2
11,5.0115,111,270530,1.0,domain2
12,4.0256,111,270530,1.0,domain2
13,4.0256,111,270530,1.0,domain2
14,4.0154,111,270530,1.0,domain2
15,5.0115,111,270530,2.0,domain2
16,4.0256,111,270530,,domain2
17,5.0115,111,270530,1.0,domain2
18,4.9726,111,270530,,domain2
19,5.0115,111,270530,1.0,domain2
20,4.9726,111,270530,1.0,domain2
21,3.7618,111,270530,,domain2
22,1.5014,201,391710,1.0,domain2
23,1.7337,201,391710,1.0,domain2
24,1.7337,201,391710,,domain2
25,1.7337,201,391710,1.0,domain2
26,2.6799,201,391710,1.0,domain2
27,2.6799,201,391710,1.0,domain2
28,2.6799,201,391710,1.0,domain2
29,2.6799,201,391710,1.0,domain2
30,2.6799,201,391710,1.0,domain2
31,2.6799,201,391710,,domain2
32,1.7337,201,391710,1.0,domain2
33,2.6799,201,391710,1.0,domain2
34,1.7337,201,391710,,domain2
35,1.7337,201,391710,1.0,domain2
36,4.6949,201,391710,1.0,domain2
37,0.8887,201,391710,,domain2
38,1.7337,201,391710,1.0,domain2
39,1.7337,201,391710,1.0,domain2
40,1.7337,201,391710,1.0,domain2
41,1.7337,201,391710,1.0,domain2
42,1.7337,201,391710,,domain2
43,1.7337,201,391710,1.0,domain2
44,1.7337,201,391710,1.0,domain2
45,1.7337,201,391710,,domain2
46,1.3737,201,391710,1.0,domain2
47,2.6799,201,391710,,domain2
48,1.7337,201,391710,,domain2
49,1.7337,201,391710,1.0,domain2
50,4.6949,201,391710,,domain2
51,4.73,201,391710,,domain2
52,4.73,201,391710,1.0,domain2
53,2.5584,201,391710,1.0,domain2
54,4.73,201,391710,1.0,domain2
55,4.6949,201,391710,1.0,domain2
56,4.73,201,391710,1.0,domain2
57,4.73,201,391710,1.0,domain2
58,2.0769,201,391710,1.0,domain2
59,4.6949,201,391710,1.0,domain2
60,4.73,201,391710,1.0,domain2
